Task,Method,metric,value,rank,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,source_path,status
D3,Multi-source Attention,M_F1,0.6204379562043796,9,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,MTF-AViTK,M_F1,0.8015873015873017,7,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,Dynamic GIN + TGP,M_F1,0.9483568075117371,1,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,DP2Net-adapted,M_F1,0.8640000000000001,3,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,RF,Smooth,0.091996699669967,7,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,TCN-GRU,Smooth,0.015495850047702972,4,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,Multi-task TCN-GRU,Smooth,0.01354702531551155,1,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,DC-PSR,Smooth,0.014321893110665071,2,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,HTT-Net (adapted),Smooth,0.014473615088472606,3,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,Multi-source Attention,Smooth,0.6586540355678191,9,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,MTF-AViTK,Smooth,0.11661177490673268,8,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,Dynamic GIN + TGP,Smooth,0.08663126438102761,6,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D3,DP2Net-adapted,Smooth,0.02444913047433117,5,PHM2010,D3,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
