dataset,channel_set,group,task,Method,Acc_mean,Acc_std_seed,Acc_n_seeds,Macro_F1_mean,Macro_F1_std_seed,Macro_F1_n_seeds,E_F1_mean,E_F1_std_seed,E_F1_n_seeds,M_F1_mean,M_F1_std_seed,M_F1_n_seeds,L_F1_mean,L_F1_std_seed,L_F1_n_seeds,M_Pre_mean,M_Pre_std_seed,M_Pre_n_seeds,M_Rec_mean,M_Rec_std_seed,M_Rec_n_seeds,M_to_E_mean,M_to_E_std_seed,M_to_E_n_seeds,M_to_L_mean,M_to_L_std_seed,M_to_L_n_seeds,Rev_mean,Rev_std_seed,Rev_n_seeds,Jump_mean,Jump_std_seed,Jump_n_seeds,Smooth_mean,Smooth_std_seed,Smooth_n_seeds,q_MAE_mean,q_MAE_std_seed,q_MAE_n_seeds,q_RMSE_mean,q_RMSE_std_seed,q_RMSE_n_seeds,q_R2_mean,q_R2_std_seed,q_R2_n_seeds,Spearman_mean,Spearman_std_seed,Spearman_n_seeds,Pearson_mean,Pearson_std_seed,Pearson_n_seeds,q_Smooth_mean,q_Smooth_std_seed,q_Smooth_n_seeds,deterministic
mendeley,primary,cross_machine_dual,D1-M,B8,0.41203438395415465,0.0849075992844736,5,0.347838619725394,0.12528805418137112,5,0.6109456792661734,0.08678589736010764,5,0.23814660089970868,0.12517732392670738,5,0.1944235790102998,0.22706468232218846,5,0.2992127862144134,0.17069330913937547,5,0.20517503805175039,0.10826722715071435,5,0.6648401826484018,0.22560137990602963,5,0.12998477929984778,0.1596019422408655,5,28.6,19.086644545335883,5,20.8,24.752777621915484,5,0.060806670522928964,0.04185166410834815,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D1-M,B9,0.38945558739255015,0.05853216692333237,5,0.33226123243432576,0.07226920709556481,5,0.5974712183417126,0.035652635874956665,5,0.13348696486532305,0.050134447564615145,5,0.2658255140959416,0.18913100316443995,5,0.18936401098777692,0.08519167317833941,5,0.10532724505327244,0.03890072706418237,5,0.7853881278538812,0.07405148283208605,5,0.10928462709284625,0.05201160678292754,5,21.6,6.54217089351845,5,14.0,4.0,5,0.048457424730114704,0.008576918507950223,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D2-M,B1,0.9079607415485278,0.0,5,0.9063239053264198,0.0,5,0.9793279311841007,0.0,5,0.8973827632802769,0.0,5,0.8422610215148822,0.0,5,0.8291259982055188,0.0,5,0.9780918727915194,0.0,5,0.0219081272084805,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0043668122270742,0.0,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,True
mendeley,primary,cross_machine_dual,D2-M,B10,0.6240639767357324,0.09747417293506223,5,0.5941667562094102,0.1354043970113746,5,0.8047939445334444,0.08857354380079269,5,0.4440993005618134,0.2634768817664416,5,0.5336070235329726,0.30998518704213646,5,0.568270748729704,0.3501693581324582,5,0.4035335689045937,0.2797393682930284,5,0.21537102473498235,0.264841225127601,5,0.381095406360424,0.411452008816873,5,25.8,17.711578134090704,5,0.6,1.3416407864998738,5,0.01720138283478962,0.0077678986149113845,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D2-M,B11,0.6791712104689205,0.12246385161661177,5,0.6623558775295,0.13079128559121314,5,0.833213592366796,0.09470412559807108,5,0.5192282762638224,0.3275485187340991,5,0.6346257639578815,0.11853721612318033,5,0.5984961996773714,0.3532712864423598,5,0.5395759717314488,0.43496792566269155,5,0.1489399293286219,0.2567995523045241,5,0.31148409893992934,0.43936869140020857,5,26.4,16.102794788483145,5,0.8,1.7888543819998317,5,0.01648786360332858,0.007632302966068828,5,0.12115578439303407,0.033720595973523705,5,0.1659881816518837,0.03319700015312206,5,0.21954402966334516,0.3052417892996777,5,0.40814004658070413,0.6427514651633203,5,0.4055498713399973,0.5783311951299464,5,0.00281943120875728,0.002467538407064272,5,False
mendeley,primary,cross_machine_dual,D2-M,B12,0.5650308978553253,0.13016231484307625,5,0.42250334121963473,0.18570013860993806,5,0.5647842060714876,0.4413464825316372,5,0.6597102965231149,0.06634310520280744,5,0.04301552106430154,0.09618562918735234,5,0.49510888726523444,0.07309983133120257,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5,1.8,3.492849839314596,5,0.0,0.0,5,0.00939339309151678,0.00617205772436084,5,0.12115578439303407,0.033720595973523705,5,0.1659881816518837,0.03319700015312206,5,0.21954402966334516,0.3052417892996777,5,0.40814004658070413,0.6427514651633203,5,0.4055498713399973,0.5783311951299464,5,0.00281943120875728,0.002467538407064272,5,False
mendeley,primary,cross_machine_dual,D2-M,B2,0.5336241366775718,0.0371397399405823,5,0.5380698208122439,0.051397725958792516,5,0.7508815007561999,0.09478338226594413,5,0.3205171875830612,0.16764322150554561,5,0.5428107740974706,0.039377499888319976,5,0.46589023674379115,0.09587065599220225,5,0.26342756183745586,0.18675902003286338,5,0.0,0.0,5,0.7365724381625441,0.18675902003286338,5,136.2,41.679731285122266,5,40.0,3.6742346141747673,5,0.1991266375545851,0.062335724073756586,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D2-M,B3,0.7211922937113776,0.07902809947531761,5,0.7281255242001579,0.072229545885502,5,0.8409663782544173,0.06095024312260255,5,0.646486631165987,0.1629467964552808,5,0.6969235631800694,0.10550095020516127,5,0.6506958215545582,0.060711865958568284,5,0.6826855123674912,0.2849233693458308,5,0.00035335689045936,0.0007901300273850759,5,0.3169611307420494,0.2848946092523533,5,92.6,39.36114835723165,5,0.6,0.8944271909999159,5,0.07169577874818046,0.012168056129386118,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D2-M,B4,0.5920756088695021,0.14260357482875505,5,0.5762675808680158,0.16910179007215462,5,0.6467948042321333,0.12851697205973467,5,0.48110190484137894,0.20940844542336723,5,0.6009060335305351,0.20630234149598134,5,0.7360711512191171,0.09024202647451204,5,0.39505300353356887,0.2401766225590003,5,0.43074204946996464,0.28095386694912927,5,0.17420494699646644,0.1592991590622446,5,135.0,34.698703145794944,5,81.4,40.80196073719988,5,0.14424897644581605,0.03329453383811192,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D2-M,B5,0.7016357688113414,0.0735687021497576,5,0.7065507002656588,0.06354634729576612,5,0.7693530786812097,0.10020501566623444,5,0.6323765732893325,0.15121641029524455,5,0.7179224488264342,0.10187351570665966,5,0.6597517803304866,0.07386671427810934,5,0.6641342756183746,0.3016641528206982,5,0.0,0.0,5,0.33586572438162543,0.3016641528206982,5,98.8,37.7915334433521,5,0.8,1.3038404810405297,5,0.06754039301310037,0.010560845225658531,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
