dataset_id,task_id,protocol_id,method_id,method_name,configuration_id,seed,aggregation_level,uncertainty_type,n_test,source_path,source_sha256,status,notes,Acc,Acc_ci_high,Acc_ci_low,Acc_std,Jump,Jump_std,M-F1,M-Rec,M_F1,M_F1_ci_high,M_F1_ci_low,M_F1_std,M_Rec,M_Rec_ci_high,M_Rec_ci_low,M_Rec_std,M_Recall,M_to_E,M_to_L,Macro-F1,MacroF1,MacroF1_ci_high,MacroF1_ci_low,MacroF1_std,M→E,M→L,Rev,Smooth,Smooth_std
PHM2010,D3,PHM_D1_D2_D3_COMMON_304,multi_source_attention,Multi-source Attention,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.6578947368421053,,,,0,,,,0.6204379562043796,,,,,,,,0.7657657657657657,0.03603603603603572,0.19819819819819642,,0.6610686741742118,,,,,,54,0.6586540355678191,
PHM2010,D3,PHM_D1_D2_D3_COMMON_304,mtf_avitk,MTF-AViTK,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.8355263157894737,,,,0,,,,0.8015873015873017,,,,,,,,0.9099099099099099,0.01801801801801786,0.07207207207207143,,0.8327336690841747,,,,,,9,0.11661177490673268,
PHM2010,D3,PHM_D1_D2_D3_COMMON_304,dynamic_gin_tgp,Dynamic GIN + TGP,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.9638157894736842,,,,0,,,,0.9483568075117371,,,,,,,,0.9099099099099099,0.07207207207207143,0.01801801801801786,,0.9652153993592257,,,,,,5,0.08663126438102761,
PHM2010,D3,PHM_D1_D2_D3_COMMON_304,dp2net_adapted,DP2Net-adapted,,42,task_point_estimate,point_estimate,304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,44f81d8584cd3d8c530fac260ded28cb1783d56fe7480607c3df13d91777e665,AUTHORITATIVE,test_universe=run_id_12_315_common_304,0.8881578947368421,,,,0,,,,0.8640000000000001,,,,,,,,0.972972972972973,0.0,0.027027027027026786,,0.8913519553072626,,,,,,1,0.02444913047433117,
PHM2010,D1,PHM_D1_FROZEN_B11_B12,a1,A1,Temperature-scaled raw stage head,42,304_run_point,point_estimate,304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,2bd8032f8e7e0261cd957cd9ed44381c58ebf781990e19fe2976eb13af6f2bd4,AUTHORITATIVE,,0.9901315789473685,,,,0,,,,0.9882352941176471,,,,0.9767441860465116,,,,,0.02325581395348819,0.0,,0.9902304781561747,,,,,,0,0.02359267461909713,
PHM2010,D1,PHM_D1_FROZEN_B11_B12,a2,A2,Raw plus fine-state stage probability,42,304_run_point,point_estimate,304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,2bd8032f8e7e0261cd957cd9ed44381c58ebf781990e19fe2976eb13af6f2bd4,AUTHORITATIVE,,0.9901315789473685,,,,0,,,,0.9882352941176471,,,,0.9767441860465116,,,,,0.02325581395348819,0.0,,0.9902304781561747,,,,,,0,0.019907228357515235,
PHM2010,D1,PHM_D1_FROZEN_B11_B12,a3,A3,Raw plus q-hat degradation-position prior,42,304_run_point,point_estimate,304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,2bd8032f8e7e0261cd957cd9ed44381c58ebf781990e19fe2976eb13af6f2bd4,AUTHORITATIVE,,0.9901315789473685,,,,0,,,,0.9882352941176471,,,,0.9767441860465116,,,,,0.02325581395348819,0.0,,0.9902304781561747,,,,,,0,0.020855330400735835,
PHM2010,D1,PHM_D1_FROZEN_B11_B12,a4,A4,Raw plus weighted fine/prior mixture,42,304_run_point,point_estimate,304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,2bd8032f8e7e0261cd957cd9ed44381c58ebf781990e19fe2976eb13af6f2bd4,AUTHORITATIVE,,0.9901315789473685,,,,0,,,,0.9882352941176471,,,,0.9767441860465116,,,,,0.02325581395348819,0.0,,0.9902304781561747,,,,,,0,0.020532626034720433,
PHM2010,D1,PHM_D1_FROZEN_B11_B12,a5,A5,Causal ordered filter applied to A4 mix,42,304_run_point,point_estimate,304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,2bd8032f8e7e0261cd957cd9ed44381c58ebf781990e19fe2976eb13af6f2bd4,AUTHORITATIVE,,0.9769736842105263,,,,0,,,,0.9725490196078431,,,,0.9612403100775194,,,,,0.03875968992248032,0.0,,0.9775120581308953,,,,,,0,0.013594679587787121,
PHM2010,D1,PHM_D1_FROZEN_B11_B12,a6,A6,Final blend of A4 mix and A5 ordered output,42,304_run_point,point_estimate,304,paper_data/01_PHM2010/03_ablation/A1_A6_AUTHORITATIVE.csv,2bd8032f8e7e0261cd957cd9ed44381c58ebf781990e19fe2976eb13af6f2bd4,AUTHORITATIVE,,0.9868421052631579,,,,0,,,,0.984375,,,,0.9767441860465116,,,,,0.02325581395348819,0.0,,0.9871020928241414,,,,,,0,0.01876092891182185,
NASA_MILLING,N1,NASA_ORIGINAL_SPLIT,b9,B9,small_L5_k30,2026,task_seed_point,point_estimate,,paper_data/02_NASA/task_level_results.csv,518278bacf0191aa091e6dc139dec939515528790424e1825a551e83f2352b8d,AUTHORITATIVE,,0.5925925925925926,,,,1,,0.47058823529411764,0.5714285714285714,,,,,,,,,,,,0.5607088989441932,,,,,0.14285714285714285,0.2857142857142857,2,0.1510012929017345,
NASA_MILLING,N1,NASA_ORIGINAL_SPLIT,b10,B10,wide_L4_k60,2026,task_seed_point,point_estimate,,paper_data/02_NASA/task_level_results.csv,518278bacf0191aa091e6dc139dec939515528790424e1825a551e83f2352b8d,AUTHORITATIVE,,0.3333333333333333,,,,3,,0.0,0.0,,,,,,,,,,,,0.29333333333333333,,,,,0.14285714285714285,0.8571428571428571,3,0.28842302991284263,
