dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D2-M,A6,72,ablation,final,0.6372228280625227,0.5198526516227763,0.8655052264808363,0.6940527283874923,0.0,0.5314553990610329,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0052981659526075,0.1604399971546524,0.2011215037046746,-0.110278438806481,-0.6998082665157634,-0.6041504726328326,0.0009233990502496,
mendeley,primary,cross_machine_dual,D2-M,A1,82,ablation,raw,0.4976372228280625,0.4576617874216502,0.818577648766328,0.0,0.5544077134986226,0.0,0.0,"early,middle,late",0.0,1.0,1132,6,0,0.0087956143204214,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528,
mendeley,primary,cross_machine_dual,D2-M,A2,82,ablation,raw_fine,0.4114867320974191,0.1943514464760923,0.0,0.5830543394282771,0.0,0.4114867320974191,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0054099804422944,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528,
mendeley,primary,cross_machine_dual,D2-M,A3,82,ablation,raw_prior,0.4114867320974191,0.1943514464760923,0.0,0.5830543394282771,0.0,0.4114867320974191,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0057354997156331,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528,
mendeley,primary,cross_machine_dual,D2-M,A4,82,ablation,mix,0.4114867320974191,0.1943514464760923,0.0,0.5830543394282771,0.0,0.4114867320974191,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0056686078049985,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528,
mendeley,primary,cross_machine_dual,D2-M,A5,82,ablation,ordered,0.4183933115230825,0.2105131907835598,0.0456182472989195,0.5859213250517599,0.0,0.4143484626647145,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0024290556780016,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528,
mendeley,primary,cross_machine_dual,D2-M,A6,82,ablation,final,0.4176663031624864,0.2088442569354565,0.0409145607701564,0.5856182100362132,0.0,0.4140453547915143,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0039158327932724,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528,
mendeley,primary,cross_machine_dual,D3-M,A1,42,ablation,raw,0.5419637959407569,0.4225438668528099,0.663973063973064,0.6036585365853658,0.0,0.5683122847301951,0.6436931079323797,"early,middle,late",0.3563068920676203,0.0,769,24,0,0.0508008172715103,0.1432321272557858,0.1952845986587181,0.0131401034089022,0.4608148745584148,0.3629372565152396,0.006220956818088,
mendeley,primary,cross_machine_dual,D3-M,A2,42,ablation,raw_fine,0.5501919912232583,0.4376697666746138,0.6958290946083419,0.6171802054154996,0.0,0.481427530954115,0.8595578673602081,"early,middle,late",0.1404421326397919,0.0,769,26,0,0.0298426345446355,0.1432321272557858,0.1952845986587181,0.0131401034089022,0.4608148745584148,0.3629372565152396,0.006220956818088,
mendeley,primary,cross_machine_dual,D3-M,A3,42,ablation,raw_prior,0.5425123422929238,0.4163432890521587,0.6072772898368883,0.6417525773195877,0.0,0.4791533033996151,0.9713914174252276,"early,middle,late",0.0286085825747724,0.0,769,23,0,0.034249102461663,0.1432321272557858,0.1952845986587181,0.0131401034089022,0.4608148745584148,0.3629372565152396,0.006220956818088,
mendeley,primary,cross_machine_dual,D3-M,A4,42,ablation,mix,0.5469007131102578,0.422932457094936,0.6266829865361077,0.6421143847487002,0.0,0.4814814814814814,0.9635890767230167,"early,middle,late",0.036410923276983,0.0,769,24,0,0.0337711724863192,0.1432321272557858,0.1952845986587181,0.0131401034089022,0.4608148745584148,0.3629372565152396,0.006220956818088,
mendeley,primary,cross_machine_dual,D3-M,A5,42,ablation,ordered,0.462424574876577,0.2848747665899429,0.243822075782537,0.6108022239872914,0.0,0.4396798170383076,1.0,"early,middle,late",0.0,0.0,769,2,0,0.0109908696048044,0.1432321272557858,0.1952845986587181,0.0131401034089022,0.4608148745584148,0.3629372565152396,0.006220956818088,
