dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D2-M,B9,62,baseline,b9,0.8327880770628863,0.8383747140791806,0.9027237354085604,0.7994467496542186,0.8129536571747628,0.8360655737704918,0.7659010600706714,"early,middle,late",0.0061837455830388,0.2279151943462897,1132,50,0,0.0334107766208866,,,,,,,
mendeley,primary,cross_machine_dual,D2-M,B10,62,baseline,b10,0.7535441657579062,0.7674041010425179,0.9103078982597056,0.6840633737185461,0.7078410311493019,0.7238658777120316,0.6484098939929329,"early,middle,late",0.0,0.3515901060070671,1132,37,0,0.0286688019326322,,,,,,,
mendeley,primary,cross_machine_dual,D2-M,B11,72,baseline,raw,0.6695747001090513,0.6592084213998648,0.8350622406639004,0.5035506778566817,0.6390123456790123,0.935251798561151,0.3445229681978798,"early,middle,late",0.1492932862190812,0.5061837455830389,1132,19,4,0.0114156250995102,0.1604399971546524,0.2011215037046746,-0.110278438806481,-0.6998082665157634,-0.6041504726328326,0.0009233990502496,
mendeley,primary,cross_machine_dual,D2-M,B12,72,proposed,final,0.6372228280625227,0.5198526516227763,0.8655052264808363,0.6940527283874923,0.0,0.5314553990610329,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0052981659526075,0.1604399971546524,0.2011215037046746,-0.110278438806481,-0.6998082665157634,-0.6041504726328326,0.0009233990502496,
mendeley,primary,cross_machine_dual,D2-M,B9,72,baseline,b9,0.5085423482370047,0.3806700465584853,0.5145985401459854,0.6225572305974316,0.0048543689320388,0.4551020408163265,0.984982332155477,"early,middle,late",0.0,0.0150176678445229,1132,23,0,0.0122525362349406,,,,,,,
mendeley,primary,cross_machine_dual,D2-M,B10,72,baseline,b10,0.6663031624863686,0.6560831281545316,0.8438155136268344,0.492546986390149,0.6318868844466115,0.924574209245742,0.3356890459363957,"early,middle,late",0.1360424028268551,0.5282685512367491,1132,15,3,0.012730978326289,,,,,,,
mendeley,primary,cross_machine_dual,D2-M,B11,82,baseline,raw,0.4976372228280625,0.4576617874216502,0.818577648766328,0.0,0.5544077134986226,0.0,0.0,"early,middle,late",0.0,1.0,1132,6,0,0.0087956143204214,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528,
mendeley,primary,cross_machine_dual,D2-M,B12,82,proposed,final,0.4176663031624864,0.2088442569354565,0.0409145607701564,0.5856182100362132,0.0,0.4140453547915143,1.0,"early,middle,late",0.0,0.0,1132,0,0,0.0039158327932724,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528,
mendeley,primary,cross_machine_dual,D2-M,B9,82,baseline,b9,0.6059614685568884,0.6273173819045379,0.9030144167758848,0.5146520146520146,0.4642857142857143,0.5342205323193916,0.4964664310954063,"early,middle,late",0.004416961130742,0.4991166077738516,1132,62,2,0.0184086710594193,,,,,,,
mendeley,primary,cross_machine_dual,D2-M,B10,82,baseline,b10,0.4925481643038895,0.4525442384218102,0.8064516129032258,0.0,0.5511811023622047,0.0,0.0,"early,middle,late",0.0,1.0,1132,8,0,0.0081722321289725,,,,,,,
mendeley,primary,cross_machine_dual,D3-M,B11,42,baseline,raw,0.5419637959407569,0.4225438668528099,0.663973063973064,0.6036585365853658,0.0,0.5683122847301951,0.6436931079323797,"early,middle,late",0.3563068920676203,0.0,769,24,0,0.0508008172715103,0.1432321272557858,0.1952845986587181,0.0131401034089022,0.4608148745584148,0.3629372565152396,0.006220956818088,
mendeley,primary,cross_machine_dual,D3-M,B12,42,proposed,final,0.4679100383982446,0.295174296922996,0.2722852512155591,0.613237639553429,0.0,0.4422081656124209,1.0,"early,middle,late",0.0,0.0,769,1,0,0.0272842207453678,0.1432321272557858,0.1952845986587181,0.0131401034089022,0.4608148745584148,0.3629372565152396,0.006220956818088,
mendeley,primary,cross_machine_dual,D3-M,B9,42,baseline,b9,0.3817882611080636,0.3365877358360347,0.5575167376749848,0.1473684210526315,0.3048780487804878,0.7325581395348837,0.0819245773732119,"early,middle,late",0.4096228868660598,0.5084525357607282,769,77,116,0.0446685909938353,,,,,,,
mendeley,primary,cross_machine_dual,D3-M,B10,42,baseline,b10,0.5562260010970927,0.504939551578207,0.6680272108843538,0.5762032085561497,0.2705882352941176,0.5928473177441541,0.5604681404421327,"early,middle,late",0.3524057217165149,0.0871261378413524,769,50,0,0.0536860014056111,,,,,,,
